subject,method,tests,total,valid,invalid,precision,total_gt,gt_implied,gt_not_implied,recall,f1_score
MathUtil_clamp,clamp,523,18,18,0,100,3,1,2,33.33,50
Polyupdate_a1,a1,489,112,5,107,4.46,2,1,1,50,8.2
FastMathNew_floor,floor,348,16,15,1,93.75,2,0,2,0,0
QueueAr_dequeueAll,dequeueAll,260,778,622,156,79.95,5,4,1,80,79.97
SimpleMethods_abs,abs,351,64,62,2,96.88,3,0,3,0,0
StackAr_push,push,280,324,289,35,89.19,4,2,2,50,64.07
SimpleMethods_addElementToSet,addElementToSet,315,1,1,0,100,1,1,0,100,100
IntMath_mod,mod,360,300,5,295,1.67,1,0,1,0,0
SimpleMethods_getMin,getMin,277,64,64,0,100,3,2,1,66.67,80
Structure_setX,setX,289,141,121,20,85.82,1,1,0,100,92.37
QueueAr_getFront,getFront,249,244,182,62,74.59,5,4,1,80,77.2
StackAr_makeEmpty,makeEmpty,251,301,170,131,56.48,3,3,1,66.67,61.15
Envelope_maxExtent,maxExtent,275,624,83,541,13.3,4,0,4,0,0
StackAr_topAndPop,topAndPop,289,343,248,95,72.3,5,2,3,40,51.51
Angle_getTurn,getTurn,501,3,3,0,100,4,1,3,25,40
BooleanUtils_toBoolean,toBoolean,501,2,2,0,100,1,1,0,100,100
QueueAr_dequeue,dequeue,260,1406,927,479,65.93,5,1,4,20,30.69
Structure_foo,foo,265,4,2,2,50,1,1,0,100,66.67
QueueAr_enqueue,enqueue,294,1156,963,193,83.3,5,4,1,80,81.62
Polyupdate_sm,sm,315,41,31,10,75.61,1,1,0,100,86.11
StackAr_pop,pop,266,289,207,82,71.63,4,2,2,50,58.89
QueueAr_makeEmpty,makeEmpty,328,715,616,99,86.15,5,3,2,60,70.74
StackAr_top,top,261,59,47,12,79.66,4,2,2,50,61.44
BooleanUtils_compare,compare,291,51,42,9,82.35,3,3,0,100,90.32
MathUtilsNew_copySignInt,copySignInt,501,17,17,0,100,4,0,4,0,0
ArithmeticUtilsNew_subAndCheck,subAndCheck,275,3,3,0,100,1,1,0,100,100
listcomp02_insert_r,insert_r,261,31,30,1,96.77,3,3,0,100,98.36
listcomp02_insert_s,insert_s,259,32,30,2,93.75,3,3,0,100,96.77
ringbuffer_count,count,375,93,85,8,91.4,3,0,3,0,0
ringbuffer_extend,extend,326,179,128,51,71.51,4,1,3,25,37.05
ringbuffer_item,item,293,208,137,71,65.87,3,2,1,66.67,66.26
ringbuffer_remove,remove,311,471,280,191,59.45,3,3,0,100,74.57
ringbuffer_wipeOut,wipeOut,302,324,206,118,63.58,3,3,0,100,77.74
map_count,count,309,27,25,2,92.59,4,0,4,0,0
map_extend,extend,329,55,37,18,67.27,4,1,3,25,36.45
map_remove,remove,309,46,29,17,63.04,5,1,4,20,30.37
maxbag_add,add,260,21,5,16,23.81,3,1,2,33.33,27.78
maxbag_getMax,getMax,282,10,10,0,100,3,2,1,66.67,80
maxbag_remove,remove,258,12,5,7,41.67,4,0,4,0,0
simple-examples_incrementNumberAtIndex,incrementNumberAtIndex,344,57,55,2,96.49,2,0,2,0.00,0.00
Composite_addChild,addChild,312,6919,1529,5390,22.10,5,0,5,0.00,0.00
doublylinkedlistnode_insertRight,insertRight,322,85,70,15,82.35,4,1,3,25.00,38.36
doublylinkedlistnode_remove,remove,318,76,76,0,100.00,1,1,0,100.00,100.00
