subject,method,total,valid,invalid,precision,total_gt,gt_implied,gt_not_implied,recall,f1_score
MathUtil_clamp,clamp,18,18,0,100.00,3,1,2,33.33,50.00
DoublyLinkedListNode_remove,remove,79,79,0,100.00,1,1,0,100.00,100.00
Polyupdate_a1,a1,99,4,95,4.04,2,1,1,50.00,7.48
ringbuffer_item,item,165,133,32,80.61,3,2,1,66.67,72.98
FastMathNew_floor,floor,16,15,1,93.75,2,0,2,0.00,0.00
maxbag_getMax,getMax,11,11,0,100.00,3,2,1,66.67,80.00
QueueAr_dequeueAll,dequeueAll,774,621,153,80.23,5,4,1,80.00,80.12
maxbag_remove,remove,12,5,7,41.67,4,0,4,0.00,0.00
simple-examples_abs,abs,64,62,2,96.88,3,0,3,0.00,0.00
StackAr_push,push,305,273,32,89.51,4,2,2,50.00,64.16
simple-examples_addElementToSet,addElementToSet,1,1,0,100.00,1,1,0,100.00,100.00
IntMath_mod,mod,300,5,295,1.67,1,0,1,0.00,0.00
DoublyLinkedListNode_insertRight,insertRight,78,68,10,87.18,4,1,3,25.00,38.86
simple-examples_getMin,getMin,60,60,0,100.00,3,2,1,66.67,80.00
Structure_setX,setX,89,78,11,87.64,1,1,0,100.00,93.41
QueueAr_getFront,getFront,234,172,62,73.50,5,4,1,80.00,76.61
StackAr_makeEmpty,makeEmpty,303,170,133,56.11,3,2,1,66.67,60.93
Envelope_maxExtent,maxExtent,640,83,557,12.97,4,0,4,0.00,0.00
ringbuffer_count,count,246,238,8,96.75,3,0,3,0.00,0.00
StackAr_topAndPop,topAndPop,343,248,95,72.30,5,2,3,40.00,51.51
Angle_getTurn,getTurn,3,3,0,100.00,4,1,3,25.00,40.00
BooleanUtils_toBoolean,toBoolean,2,2,0,100.00,1,1,0,100.00,100.00
listcomp02_insert_r,insert,29,28,1,96.55,3,3,0,100.00,98.25
map_count,count,27,25,2,92.59,4,0,4,0.00,0.00
QueueAr_dequeue,dequeue,977,634,343,64.89,5,1,4,20.00,30.58
listcomp02_insert_s,insert,32,30,2,93.75,3,3,0,100.00,96.77
maxbag_add,add,21,5,16,23.81,3,1,2,33.33,27.78
ringbuffer_remove,remove,542,280,262,51.66,3,3,0,100.00,68.13
ringbuffer_extend,extend,225,164,61,72.89,4,1,3,25.00,37.23
Structure_foo,foo,3,2,1,66.67,1,1,0,100.00,80.00
QueueAr_enqueue,enqueue,1212,1014,198,83.66,5,4,1,80.00,81.79
Polyupdate_sm,sm,37,31,6,83.78,1,1,0,100.00,91.18
ringbuffer_wipeOut,wipeOut,334,221,113,66.17,3,3,0,100.00,79.64
simple-examples_incrementNumberAtIndex,incrementNumberAtIndex,57,55,2,96.49,2,0,2,0.00,0.00
StackAr_pop,pop,289,207,82,71.63,4,2,2,50.00,58.89
QueueAr_makeEmpty,makeEmpty,676,587,89,86.83,5,3,2,60.00,70.97
StackAr_top,top,59,47,12,79.66,4,2,2,50.00,61.44
BooleanUtils_compare,compare,51,42,9,82.35,3,3,0,100.00,90.32
MathUtilsNew_copySignInt,copySignInt,17,17,0,100.00,4,0,4,0.00,0.00
map_extend,extend,55,41,14,74.55,4,1,3,25.00,37.44
map_remove,remove,47,33,14,70.21,5,1,4,20.00,31.13
ArithmeticUtilsNew_subAndCheck,subAndCheck,3,3,0,100.00,1,1,0,100.00,100.00
Composite_addChild,addChild,6445,1453,4992,22.54,5,0,5,0.00,0.00
