subject,method,total,valid,invalid,precision,total_gt,gt_implied,gt_not_implied,recall,f1_score
MathUtil_clamp,clamp,18,18,0,100.00,3,1,2,33.33,50.00
DoublyLinkedListNode_remove,remove,79,79,0,100.00,1,1,0,100.00,100.00
Polyupdate_a1,a1,202,4,198,1.98,2,1,1,50.00,3.81
ringbuffer_item,item,179,137,42,76.54,3,2,1,66.67,71.26
FastMathNew_floor,floor,33,15,18,45.45,2,0,2,0.00,0.00
maxbag_getMax,getMax,11,11,0,100.00,3,2,1,66.67,80.00
QueueAr_dequeueAll,dequeueAll,778,622,156,79.95,5,4,1,80.00,79.97
maxbag_remove,remove,12,5,7,41.67,4,0,4,0.00,0.00
simple-examples_abs,abs,83,62,21,74.70,3,0,3,0.00,0.00
StackAr_push,push,305,273,32,89.51,4,2,2,50.00,64.16
simple-examples_addElementToSet,addElementToSet,1,1,0,100.00,1,1,0,100.00,100.00
IntMath_mod,mod,300,5,295,1.67,1,0,1,0.00,0.00
DoublyLinkedListNode_insertRight,insertRight,87,72,15,82.76,4,1,3,25.00,38.40
simple-examples_getMin,getMin,64,64,0,100.00,3,2,1,66.67,80.00
Structure_setX,setX,152,123,29,80.92,1,1,0,100.00,89.45
QueueAr_getFront,getFront,244,182,62,74.59,5,4,1,80.00,77.20
StackAr_makeEmpty,makeEmpty,303,170,133,56.11,3,2,1,66.67,60.93
Envelope_maxExtent,maxExtent,920,83,837,9.02,4,0,4,0.00,0.00
ringbuffer_count,count,334,238,96,71.26,3,0,3,0.00,0.00
StackAr_topAndPop,topAndPop,345,248,97,71.88,5,2,3,40.00,51.40
Angle_getTurn,getTurn,3,3,0,100.00,4,1,3,25.00,40.00
BooleanUtils_toBoolean,toBoolean,2,2,0,100.00,1,1,0,100.00,100.00
listcomp02_insert_r,insert,31,30,1,96.77,3,3,0,100.00,98.36
map_count,count,27,25,2,92.59,4,0,4,0.00,0.00
QueueAr_dequeue,dequeue,1007,641,366,63.65,5,1,4,20.00,30.44
listcomp02_insert_s,insert,32,30,2,93.75,3,3,0,100.00,96.77
maxbag_add,add,21,5,16,23.81,3,1,2,33.33,27.78
ringbuffer_remove,remove,508,280,228,55.12,3,3,0,100.00,71.07
ringbuffer_extend,extend,258,187,71,72.48,4,1,3,25.00,37.18
Structure_foo,foo,4,2,2,50.00,1,1,0,100.00,66.67
QueueAr_enqueue,enqueue,1237,1023,214,82.70,5,4,1,80.00,81.33
Polyupdate_sm,sm,122,31,91,25.41,1,1,0,100.00,40.52
Composite_addChild,addChild,6936,1529,5407,22.04,5,0,5,0.00,0.00
ringbuffer_wipeOut,wipeOut,351,221,130,62.96,3,3,0,100.00,77.27
simple-examples_incrementNumberAtIndex,incrementNumberAtIndex,57,55,2,96.49,2,0,2,0.00,0.00
StackAr_pop,pop,292,207,85,70.89,4,2,2,50.00,58.64
QueueAr_makeEmpty,makeEmpty,727,620,107,85.28,5,3,2,60.00,70.44
StackAr_top,top,59,47,12,79.66,4,2,2,50.00,61.44
BooleanUtils_compare,compare,51,42,9,82.35,3,3,0,100.00,90.32
MathUtilsNew_copySignInt,copySignInt,17,17,0,100.00,4,0,4,0.00,0.00
map_extend,extend,55,41,14,74.55,4,1,3,25.00,37.44
map_remove,remove,47,33,14,70.21,5,1,4,20.00,31.13
ArithmeticUtilsNew_subAndCheck,subAndCheck,3,3,0,100.00,1,1,0,100.00,100.00
